math_eq,CorrAns,dstr1,dstr2,CorrAns_key,thisN,thisTrialN,thisRepN,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_rest.thisRepN,loop_rest.thisTrialN,loop_rest.thisN,loop_rest.thisIndex,thisRow.t,notes,piloting,instruction_screen.started,text_instruction.started,key_resp_inst.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,set_options.started,set_options.stopped,trial.started,text_equation.started,text_opt1.started,text_opt2.started,text_opt3.started,trial.stopped,trials.key_resp_eq.keys,trials.key_resp_eq.corr,pause.started,text_2.started,text_2.stopped,pause.stopped,feedback.started,text_feedback.started,text_feedback.stopped,feedback.stopped,is_rest.started,is_rest.stopped,trials.key_resp_eq.rt,trials.key_resp_eq.duration,rest_screen.started,text.started,text.stopped,rest_screen.stopped,Q1.started,text_q1.started,key_resp_2.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,text_endscreen.started,key_resp.started,key_resp.stopped,text_endscreen.stopped,end_screen.stopped,key_resp.keys,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
13 * 2,26,24,23,3,9,9,0,3,0,2.5394565999740735,None,0,9,9,9,0,0,0,0,108.24933810008224,,,,,,,,,,100.71149980009068,100.7117564000655,100.7174248000374,100.7199598000152,100.7199598000152,100.7199598000152,100.7199598000152,103.25797610008158,3,0,103.25814720010385,103.26601320004556,105.25758480001241,105.2497889000224,105.24982380005531,105.25758480001241,108.24933810008224,108.24127470003441,108.24130160000641,108.2414975001011,2.5394565999740735,None,108.24171360000037,108.24933810008224,118.24597180006094,118.23371500009671,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
31 + 10,41,39,32,3,10,10,0,3,0,3.9411183000775054,None,0,10,10,10,,,,,118.24597180006094,,,,,,,,,,118.23715960001573,118.2373972000787,118.2431968000019,118.24597180006094,118.24597180006094,118.24597180006094,118.24597180006094,122.19172250002157,3,0,122.19187700003386,122.19952760008164,124.19149800005835,124.18319850007538,124.18323450000025,124.19149800005835,127.18908120004926,127.17511500010733,127.175141200074,127.175334700034,3.9411183000775054,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
27 - 14,13,10,23,1,11,11,0,1,0,4.821854299982078,None,0,11,11,11,,,,,127.18908120004926,,,,,,,,,,127.17877790005878,127.17898720002268,127.18646550003905,127.18908120004926,127.18908120004926,127.18908120004926,127.18908120004926,132.01730820001103,1,0,132.0174762000097,132.0247054999927,134.01652270008344,134.00857440009713,134.00861030002125,134.01652270008344,137.01306400005706,137.00038970005699,137.00041510001756,137.00060480006505,4.821854299982078,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
27 + 18,45,47,52,1,12,12,0,1,0,5.206442199996673,None,0,12,12,12,,,,,137.01306400005706,,,,,,,,,,137.00400860002264,137.00422410003375,137.01013940002304,137.01306400005706,137.01306400005706,137.01306400005706,137.01306400005706,142.2253566000145,1,0,142.22551250003744,142.2329505000962,144.22507680009585,144.2170357001014,144.21707070001867,144.22507680009585,147.22104770003352,147.20851100003347,147.2085373000009,147.20872560003772,5.206442199996673,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
37 + 18,55,47,45,2,13,13,0,2,0,5.52689239999745,None,0,13,13,13,,,,,147.22104770003352,,,,,,,,,,147.21214459999464,147.21235370007344,147.21829320001416,147.22104770003352,147.22104770003352,147.22104770003352,147.22104770003352,152.7511234000558,2,0,152.7512722000247,152.75842760002706,154.75015800003894,154.7421697000973,154.74220470001455,154.75015800003894,157.74576980003621,157.7334935000399,157.73352060001343,157.73370950005483,5.52689239999745,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
112 / 2,56,52,46,1,14,14,0,1,0,4.681329800048843,None,0,14,14,14,,,,,157.74576980003621,,,,,,,,,,157.7371411001077,157.73735150007997,157.7430330000352,157.74576980003621,157.74576980003621,157.74576980003621,157.74576980003621,162.42614830005914,1,0,162.42628330003936,162.43355850002263,164.42487250000704,164.41731660009827,164.4173525000224,164.42487250000704,167.42139600007795,167.40894200000912,167.40896940010134,167.40915640001185,4.681329800048843,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
110 / 2,55,59,57,2,15,15,0,2,0,3.0377942000050098,None,0,15,15,15,,,,,167.42139600007795,,,,,,,,,,167.41260050004348,167.41281220002566,167.41860410000663,167.42139600007795,167.42139600007795,167.42139600007795,167.42139600007795,170.45934940001462,2,0,170.45952380006202,170.4670582000399,172.45861220010556,172.45078050007578,172.45081569999456,172.45861220010556,175.4545734000858,175.442199000041,175.44224260002375,175.44243440008722,3.0377942000050098,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
22 + 14,36,46,38,3,16,16,0,2,0,4.540411800029688,None,0,16,16,16,,,,,175.4545734000858,,,,,,,,,,175.4458714000648,175.4460820000386,175.4518135000253,175.4545734000858,175.4545734000858,175.4545734000858,175.4545734000858,180.00098640006036,2,0,180.00116620003246,180.00878720008768,182.0003534000134,181.9922310000984,181.99369400006253,182.0003534000134,184.99573710002005,184.9839339000173,184.98396119999234,184.9841515000444,4.540411800029688,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
32 - 9,23,29,21,3,17,17,0,3,0,7.575063599972054,None,0,17,17,17,,,,,184.99573710002005,,,,,,,,,,184.98760870005935,184.98782140004914,184.99333800002933,184.99573710002005,184.99573710002005,184.99573710002005,184.99573710002005,192.57611930009443,3,0,192.57627700001467,192.58406780008227,194.57548440003302,194.56804130005185,194.56949090003036,194.57548440003302,197.57177550008055,197.55946300004143,197.559490500018,197.55968210007995,7.575063599972054,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
18 * 3,54,52,44,3,18,18,0,3,0,7.528024700004607,None,0,18,18,18,,,,,197.57177550008055,,,,,,,,,,197.56323590001557,197.56347030005418,197.56921770004556,197.57177550008055,197.57177550008055,197.57177550008055,197.57177550008055,205.101756600081,3,0,205.1019105000887,205.10921520006377,207.10067489999346,207.0930098000681,207.09304540010635,207.10067489999346,210.09699230000842,210.08506970002782,210.08509730000515,210.08528870006558,7.528024700004607,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
33 - 6,27,29,26,2,19,19,0,2,0,4.138865599990822,None,0,19,19,19,0,0,0,0,219.22587650001515,,,,,,,,,,210.0887519000098,210.0889672000194,210.09436640003696,210.09699230000842,210.09699230000842,210.09699230000842,210.09699230000842,214.2347854000982,2,0,214.2349396001082,214.24248850008007,216.23440310009755,216.2261434000684,216.2261998000322,216.23440310009755,219.22587650001515,219.21809159999248,219.21811890008394,219.21830710000359,4.138865599990822,None,219.21852640004363,219.22587650001515,229.22200490010437,229.20977080008015,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
19 * 3,57,50,53,3,20,20,0,3,0,6.213981700013392,None,0,20,20,20,,,,,229.22200490010437,,,,,,,,,,229.213287300081,229.2135142000625,229.21927790006157,229.22200490010437,229.22200490010437,229.22200490010437,229.22200490010437,235.43510400003288,3,0,235.43527100002393,235.44295510009397,237.4345886000665,237.42658790003043,237.4266234000679,237.4345886000665,240.43103080010042,240.41835700010415,240.41838460008148,240.41858200007118,6.213981700013392,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
140 / 4,45,35,42,1,21,21,0,2,0,5.148898600018583,None,0,21,21,21,,,,,240.43103080010042,,,,,,,,,,240.42210130009335,240.42231480008923,240.42824790009763,240.43103080010042,240.43103080010042,240.43103080010042,240.43103080010042,245.58551040000748,2,0,245.58566630003043,245.59320840006694,247.58481290005147,247.5767864000518,247.57827390008606,247.58481290005147,250.58117040002253,250.56865340005606,250.56868060003035,250.5688699000748,5.148898600018583,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
23 + 18,41,39,33,1,22,22,0,1,0,9.54210800002329,None,0,22,22,22,,,,,250.58117040002253,,,,,,,,,,250.57239330001175,250.57260340009816,250.57849540002644,250.58117040002253,250.58117040002253,250.58117040002253,250.58117040002253,260.12734710006043,1,0,260.12749109999277,260.13472130009905,262.12668190000113,262.11884060001466,262.1202780000167,262.12668190000113,265.12335310003255,265.1103073999984,265.1103346000891,265.11053190007806,9.54210800002329,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
128 / 2,64,60,62,3,23,23,0,3,0,4.791892300010659,None,0,23,23,23,,,,,265.12335310003255,,,,,,,,,,265.11410980008077,265.1143239000812,265.1204674000619,265.12335310003255,265.12335310003255,265.12335310003255,265.12335310003255,269.9192790000234,3,0,269.9194353000494,269.9265841000015,271.91856550006196,271.91046070004813,271.91049610008486,271.91856550006196,274.9143865000224,274.9022410000907,274.9022679000627,274.9024656000547,4.791892300010659,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
39 - 11,28,26,27,2,24,24,0,2,0,3.657230900018476,None,0,24,24,24,,,,,274.9143865000224,,,,,,,,,,274.90601710008923,274.90626750001684,274.9117459000554,274.9143865000224,274.9143865000224,274.9143865000224,274.9143865000224,278.5779717999976,2,0,278.57814070000313,278.58547300007194,280.57677440007683,280.5691597000696,280.5691951001063,280.57677440007683,283.5730064000236,283.56083830003627,283.5608651000075,283.5610524000367,3.657230900018476,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
23 + 9,32,31,29,1,25,25,0,1,0,6.118665599962696,None,0,25,25,25,,,,,283.5730064000236,,,,,,,,,,283.56462970003486,283.56484160001855,283.5704895000672,283.5730064000236,283.5730064000236,283.5730064000236,283.5730064000236,289.6944102999987,1,0,289.69455690006725,289.70200590009335,291.69394420005847,291.68559130001813,291.6856364000123,291.69394420005847,294.69061450008303,294.6780346001033,294.67806180007756,294.6782948001055,6.118665599962696,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
142 / 2,71,72,74,1,26,26,0,1,0,4.778603499988094,None,0,26,26,26,,,,,294.69061450008303,,,,,,,,,,294.6818983000703,294.6821182999993,294.687854000018,294.69061450008303,294.69061450008303,294.69061450008303,294.69061450008303,299.46943960001227,1,0,299.46959180000704,299.476865200093,301.46882000006735,301.46088460006285,301.46092110010795,301.46882000006735,304.4650836000219,304.4527682000771,304.4527951000491,304.45298490009736,4.778603499988094,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
14 * 3,42,38,40,2,27,27,0,2,0,7.386718400055543,None,0,27,27,27,,,,,304.4650836000219,,,,,,,,,,304.4565506000072,304.4567931999918,304.4623928000219,304.4650836000219,304.4650836000219,304.4650836000219,304.4650836000219,311.853129300056,2,0,311.8532791000325,311.8604458000045,313.8527436000295,313.8446152000688,313.84465080010705,313.8527436000295,316.8482151000062,316.83619950001594,316.83622610010207,316.83642350009177,7.386718400055543,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
33 - 8,25,26,28,3,28,28,0,2,0,4.075498499907553,None,0,28,28,28,,,,,316.8482151000062,,,,,,,,,,316.8400435000658,316.84026590001304,316.84565570007544,316.8482151000062,316.8482151000062,316.8482151000062,316.8482151000062,320.9285595000256,2,0,320.9287139000371,320.9359546001069,322.9276115000248,322.91968690010253,322.9211599000264,322.9276115000248,325.92334750003647,325.9110437000636,325.9110708000371,325.911261600093,4.075498499907553,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
37 + 26,63,53,65,1,29,29,0,2,0,6.439453999977559,None,0,29,29,29,0,0,0,0,337.35279000003356,,,,,,,,,,325.9148848000914,325.9151003001025,325.920767200063,325.92334750003647,325.92334750003647,325.92334750003647,325.92334750003647,332.36165660002735,2,0,332.36180380010046,332.3695078000892,334.3611597000854,334.35319190006703,334.35322630009614,334.3611597000854,337.35279000003356,337.34498530009296,337.34501200006343,337.34520700003486,6.439453999977559,None,337.34543030010536,337.35279000003356,347.3483266000403,347.3365437000757,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
34 - 8,26,20,32,1,30,30,0,1,0,4.199102399987169,None,0,30,30,30,,,,,347.3483266000403,,,,,,,,,,347.34018520009704,347.3404312999919,347.3458635000279,347.3483266000403,347.3483266000403,347.3483266000403,347.3483266000403,351.5534061000217,1,0,351.5535594000248,351.5614998000674,353.553121700068,353.54497740010265,353.5464197000256,353.553121700068,356.54973050008994,356.5368871000828,356.536913500051,356.5371127000544,4.199102399987169,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
14 * 3,42,44,49,1,31,31,0,1,0,5.590014199959114,None,0,31,31,31,,,,,356.54973050008994,,,,,,,,,,356.5407461000141,356.5410679000197,356.54690570000093,356.54973050008994,356.54973050008994,356.54973050008994,356.54973050008994,362.14567310002167,1,0,362.14584910008125,362.1531784000108,364.14457750006113,364.13690959999803,364.13694400002714,364.14457750006113,367.1412423000438,367.12834880000446,367.1283766000997,367.1285692000529,5.590014199959114,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
22 + 18,40,33,48,3,32,32,0,3,0,3.766522499965504,None,0,32,32,32,,,,,367.1412423000438,,,,,,,,,,367.13224320008885,367.13245950010605,367.1384473000653,367.1412423000438,367.1412423000438,367.1412423000438,367.1412423000438,370.91256750002503,3,0,370.9127151001012,370.9202104000142,372.91174810007215,372.9037021000404,372.9037376000779,372.91174810007215,375.9061744000064,375.8949661999941,375.8949928000802,375.8951858000364,3.766522499965504,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
11 * 3,33,39,29,1,33,33,0,1,0,1.6733100999845192,None,0,33,33,33,,,,,375.9061744000064,,,,,,,,,,375.89887210004963,375.8990916000912,375.9036061000079,375.9061744000064,375.9061744000064,375.9061744000064,375.9061744000064,377.5787181000924,1,0,377.5788839000743,377.5869047000306,379.57850370008964,379.570540200104,379.5705762000289,379.57850370008964,382.57407760003116,382.5620845000958,382.56211210007314,382.5623059000354,1.6733100999845192,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
19 * 2,38,37,32,1,34,34,0,1,0,5.101574199972674,None,0,34,34,34,,,,,382.57407760003116,,,,,,,,,,382.5659889000235,382.56620640004985,382.5716354000615,382.57407760003116,382.57407760003116,382.57407760003116,382.57407760003116,387.679229100002,1,0,387.67938620003406,387.6869433000684,389.6784847000381,389.67040890001226,389.67044410004746,389.6784847000381,392.67539610003587,392.66217080003116,392.66219750000164,392.6623898000689,5.101574199972674,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
28 + 19,47,50,45,2,35,35,0,2,0,5.960373400012031,None,0,35,35,35,,,,,392.67539610003587,,,,,,,,,,392.66606620000675,392.66628360003233,392.67254080006387,392.67539610003587,392.67539610003587,392.67539610003587,392.67539610003587,398.6377798001049,2,0,398.6379355000099,398.6452924000332,400.6373345000902,400.62933040002827,400.6293665000703,400.6373345000902,403.6336557000177,403.620794699993,403.6208213000791,403.6210167000536,5.960373400012031,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
31 + 23,54,47,57,2,36,36,0,2,0,4.154487199964933,None,0,36,36,36,,,,,403.6336557000177,,,,,,,,,,403.6246836000355,403.62490210006945,403.6307989000343,403.6336557000177,403.6336557000177,403.6336557000177,403.6336557000177,407.78758070000913,2,0,407.78773430001456,407.7953866000753,409.78732630005106,409.77927679999266,409.77932190010324,409.78732630005106,412.7833133999957,412.7708557000151,412.7708819000982,412.7710754000582,4.154487199964933,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
22 + 20,42,38,51,2,37,37,0,2,0,2.7318142000585794,None,0,37,37,37,,,,,412.7833133999957,,,,,,,,,,412.77481690002605,412.77503500005696,412.7806726000272,412.7833133999957,412.7833133999957,412.7833133999957,412.7833133999957,415.52108950004913,2,0,415.52128480002284,415.5287350000581,417.5205918001011,417.5128260999918,417.5128615000285,417.5205918001011,420.516754600103,420.5044410000555,420.5044674000237,420.50466310000047,2.7318142000585794,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
39 - 11,28,19,18,1,38,38,0,1,0,3.0622943999478593,None,0,38,38,38,,,,,420.516754600103,,,,,,,,,,420.50839040009305,420.5086397000123,420.514075800078,420.516754600103,420.516754600103,420.516754600103,420.516754600103,423.5796544000041,1,0,423.57980820001103,423.5872665999923,425.57909410004504,425.57119230006356,425.57122750009876,425.57909410004504,428.5754524000222,428.5628312000772,428.56285740004387,428.5630537000252,3.0622943999478593,None,,,,,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
31 + 43,74,73,64,3,39,39,0,3,0,5.3080140999518335,None,0,39,39,39,0,0,0,0,438.87927850009874,,,,,,,,,,428.5667497999966,428.56699860002846,428.5727357000578,428.5754524000222,428.5754524000222,428.5754524000222,428.5754524000222,433.88801950006746,3,0,433.88819590001367,433.89588220010046,435.8874962000409,435.87973430007696,435.87976949999575,435.8874962000409,438.87927850009874,438.87124580005184,438.87127350002993,438.87147140002344,5.3080140999518335,None,438.871686700033,438.87927850009874,448.87498340010643,448.86291120003443,,,,,,,,,,,,,,,208,1,short,A,2026-07-13_10h08.05.384,arithmetic_task,,2026.1.3,120.27687735162951,2026-07-13 10h08.05.477839 -0400,
